run                                                                                        validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
beauty_mclsr_grid_04_graph_logq_lil_uniformq_Beauty_2026-09-14T04:00:23                                    0.0573 @ 49792                    0.0521 @ 49792                    0.5206 @ 49792       60633
beauty_mclsr_grid_04_graph_logq_lil_uniformq_Beauty_confirm_seed1_2026-09-14T06:34:12                      0.0559 @ 48128                                 -                                 -       67591
beauty_mclsr_grid_04_graph_logq_lil_uniformq_Beauty_confirm_seed2_2026-09-14T07:10:27                      0.0568 @ 42304                                 -                                 -       55663
beauty_mclsr_grid_04_graph_logq_lil_uniformq_Beauty_confirm_seed3_2026-09-14T07:39:50                      0.0578 @ 42560                                 -                                 -       52681
beauty_mclsr_grid_05_full_baseline_Beauty_2026-09-13T06:57:00                                              0.0625 @ 24960                    0.0563 @ 24960                    0.5344 @ 24960       35783
beauty_mclsr_grid_05_full_baseline_Beauty_confirm_seed1_2026-09-17T03:23:01                                0.0608 @ 24000                                 -                                 -       34789
beauty_mclsr_grid_05_full_baseline_Beauty_confirm_seed2_2026-09-17T04:02:00                                0.0605 @ 19648                                 -                                 -       31807
beauty_mclsr_grid_05_full_baseline_Beauty_confirm_seed3_2026-09-17T04:38:27                                0.0608 @ 25408                                 -                                 -       35783
beauty_mclsr_grid_05_full_uw_Beauty_2026-09-13T21:45:26                                                    0.0516 @ 33408                    0.0437 @ 33408                    0.5029 @ 33408       43735
beauty_mclsr_grid_05_full_w01_Beauty_2026-09-13T08:43:28                                                   0.0613 @ 21056                    0.0565 @ 21056                    0.5485 @ 21056       31807
beauty_mclsr_grid_05_full_w02_Beauty_2026-09-13T09:30:38                                                   0.0621 @ 28224                    0.0557 @ 28224                    0.5348 @ 28224       38765
beauty_mclsr_grid_05_full_w05_Beauty_2026-09-13T10:28:12                                                   0.0624 @ 25920                    0.0585 @ 25920                    0.5353 @ 25920       36777
beauty_mclsr_grid_05_full_w05_Beauty_confirm_seed1_2026-09-14T01:32:17                                     0.0599 @ 23040                                 -                                 -       33795
beauty_mclsr_grid_05_full_w05_Beauty_confirm_seed2_2026-09-14T02:14:17                                     0.0581 @ 22720                                 -                                 -       32801
beauty_mclsr_grid_05_full_w05_Beauty_confirm_seed3_2026-09-14T02:54:56                                     0.0620 @ 23936                                 -                                 -       34789
beauty_mclsr_grid_05_minus_ic_Beauty_confirm_seed1_2026-09-17T03:20:39                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_ic_Beauty_confirm_seed1_2026-09-17T05:05:02                                     0.0605 @ 28032                                 -                                 -       38765
beauty_mclsr_grid_05_minus_ic_Beauty_confirm_seed2_2026-09-17T03:23:10                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_ic_Beauty_confirm_seed2_2026-09-17T05:39:18                                     0.0622 @ 22784                                 -                                 -       32801
beauty_mclsr_grid_05_minus_ic_Beauty_confirm_seed3_2026-09-17T03:23:14                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_ic_Beauty_confirm_seed3_2026-09-17T06:09:09                                     0.0610 @ 26176                                 -                                 -       36777
beauty_mclsr_grid_05_minus_il_Beauty_confirm_seed1_2026-09-17T03:20:43                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_il_Beauty_confirm_seed1_2026-09-17T06:42:10                                      0.0549 @ 7808                                 -                                 -       18885
beauty_mclsr_grid_05_minus_il_Beauty_confirm_seed2_2026-09-17T03:23:18                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_il_Beauty_confirm_seed2_2026-09-17T07:02:51                                      0.0543 @ 8832                                 -                                 -       18885
beauty_mclsr_grid_05_minus_il_Beauty_confirm_seed3_2026-09-17T03:23:22                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_il_Beauty_confirm_seed3_2026-09-17T07:24:03                                     0.0552 @ 10688                                 -                                 -       20873
beauty_mclsr_grid_05_minus_uc_Beauty_confirm_seed1_2026-09-17T03:20:33                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_uc_Beauty_confirm_seed1_2026-09-17T03:24:21                                     0.0607 @ 18240                                 -                                 -       35783
beauty_mclsr_grid_05_minus_uc_Beauty_confirm_seed2_2026-09-17T03:23:01                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_uc_Beauty_confirm_seed2_2026-09-17T03:58:25                                     0.0606 @ 22272                                 -                                 -       32801
beauty_mclsr_grid_05_minus_uc_Beauty_confirm_seed3_2026-09-17T03:23:06                                                  -                                 -                                 -           0
beauty_mclsr_grid_05_minus_uc_Beauty_confirm_seed3_2026-09-17T04:30:25                                     0.0617 @ 25152                                 -                                 -       35783
beauty_mclsr_grid_06_full_logq_ucic_Beauty_2026-09-13T05:36:01                                             0.0627 @ 26880                    0.0537 @ 26880                    0.5389 @ 26880       37771
beauty_mclsr_grid_07_full_logq_all_Beauty_2026-09-13T11:22:40                                              0.0586 @ 48896                    0.0516 @ 48896                    0.5246 @ 48896       59639
beauty_mclsr_grid_09_item_only_Beauty_2026-09-13T05:22:23                                                  0.0564 @ 10368                    0.0535 @ 10368                    0.4876 @ 10368       20873
beauty_mclsr_grid_10_item_only_logq_Beauty_2026-09-13T05:46:13                                             0.0598 @ 10752                    0.0548 @ 10752                    0.5024 @ 10752       20873
beauty_mclsr_grid_10_item_only_logq_ctxq_v2_Beauty_2026-09-13T12:58:23                                     0.0589 @ 10688                    0.0563 @ 10688                    0.5045 @ 10688       20873
beauty_mclsr_grid_14_full_softmax_Beauty_2026-09-13T14:51:34                                               0.0657 @ 26304                    0.0571 @ 26304                    0.5062 @ 26304       36777
beauty_mclsr_grid_14_full_softmax_Beauty_confirm_seed1_2026-09-14T01:25:00                                  0.0651 @ 9920                                 -                                 -       36777
beauty_mclsr_grid_14_full_softmax_Beauty_confirm_seed2_2026-09-14T00:32:24                                 0.0651 @ 47424                                 -                                 -       57651
beauty_mclsr_grid_14_full_softmax_Beauty_confirm_seed3_2026-09-14T00:11:34                                 0.0666 @ 40640                                 -                                 -       50693
beauty_mclsr_grid_14_full_softmax_graph_Beauty_2026-09-13T15:16:37                                         0.0618 @ 30208                    0.0576 @ 30208                    0.5465 @ 30208       40753
beauty_mclsr_grid_17_user_only_full_matched_Beauty_2026-09-13T04:27:29                                     0.0569 @ 10752                    0.0525 @ 10752                    0.4904 @ 10752       20873
beauty_mclsr_grid_18_item_only_full_matched_Beauty_2026-09-13T04:45:45                                      0.0564 @ 8128                     0.0516 @ 8128                     0.4939 @ 8128       18885
beauty_sasrec_baseline_Beauty_2026-09-13T13:17:12                                                           0.0456 @ 4160                     0.0393 @ 4160                     0.4579 @ 4160        5559
beauty_sasrec_inbatch_corrected_Beauty_2026-09-13T08:41:06                                                  0.0707 @ 1664                     0.0656 @ 1664                     0.5034 @ 1664        3057
beauty_sasrec_inbatch_corrected_Beauty_confirm_seed1_2026-09-14T03:55:09                                     0.0718 @ 960                                 -                                 -        3057
beauty_sasrec_inbatch_corrected_Beauty_confirm_seed2_2026-09-14T03:56:47                                    0.0710 @ 1088                                 -                                 -        3057
beauty_sasrec_inbatch_corrected_Beauty_confirm_seed3_2026-09-14T03:58:24                                    0.0703 @ 2496                                 -                                 -        3891
beauty_sasrec_inbatch_l00_Beauty_2026-09-13T05:32:08                                                         0.0524 @ 704                      0.0446 @ 704                      0.4178 @ 704        2223
beauty_sasrec_inbatch_l00_Beauty_confirm_seed1_2026-09-14T01:39:40                                           0.0526 @ 512                                 -                                 -        3891
beauty_sasrec_inbatch_l00_Beauty_confirm_seed2_2026-09-14T00:09:58                                           0.0539 @ 704                                 -                                 -        3335
beauty_sasrec_inbatch_l00_Beauty_confirm_seed3_2026-09-14T00:08:07                                           0.0530 @ 576                                 -                                 -        3891
beauty_sasrec_inbatch_l00_umask_Beauty_2026-09-13T13:21:20                                                   0.0515 @ 704                      0.0475 @ 704                      0.4178 @ 704        2223
beauty_sasrec_inbatch_logq_Beauty_2026-09-13T05:33:52                                                       0.0705 @ 1344                     0.0667 @ 1344                     0.5067 @ 1344        2779
beauty_sasrec_inbatch_logq_Beauty_confirm_seed1_2026-09-14T01:41:37                                         0.0719 @ 1088                                 -                                 -        3335
beauty_sasrec_inbatch_logq_Beauty_confirm_seed2_2026-09-14T00:06:16                                         0.0706 @ 2432                                 -                                 -        3891
beauty_sasrec_inbatch_logq_Beauty_confirm_seed3_2026-09-14T00:04:19                                         0.0706 @ 2496                                 -                                 -        3891
beauty_sasrec_inbatch_logq_umask_Beauty_2026-09-13T13:23:04                                                  0.0681 @ 960                      0.0636 @ 960                      0.4996 @ 960        2362
beauty_sasrec_ladder_l00_Beauty_2026-09-13T13:24:51                                                         0.0470 @ 2880                     0.0408 @ 2880                     0.4017 @ 2880       12921
beauty_sasrec_ladder_logq_Beauty_2026-09-13T13:34:21                                                        0.0654 @ 3904                     0.0605 @ 3904                     0.4675 @ 3904       13915
